Libreria #include_<stdio.h> 1
Tipo_dato int 3
Identificador main 3
Parentesis_apertura ( 3
Parentesis_cierre ) 3
Llave_apertura { 3
Tipo_dato int 4
Identificador alumnos 4
Punto_y_coma ; 4
Tipo_dato int 5
Identificador omedio 5
Punto_y_coma ; 5
Identificador alumnos 7
Op_asignacion = 7
Real 25 7
Punto_y_coma ; 7
Identificador promedio 8
Op_asignacion = 8
Real 89 8
Punto_y_coma ; 8
Reservada_if if 9
Parentesis_apertura ( 9
Identificador promedio 9
Op_relacional > 9
Identificador alumnos 9
Parentesis_cierre ) 9
Llave_apertura { 9
Identificador promedio 10
Op_asignacion = 10
Identificador promedio 10
Coma , 10
Identificador alumnos 10
Punto_y_coma ; 10
Llave_cierre } 11
Llave_cierre } 12
